Date,1,2,3,4,5,Megaball
9/26/2020,8,13,18,31,38,2
9/23/2020,2,21,25,28,37,3
9/19/2020,3,10,21,33,41,6
9/16/2020,16,20,27,29,35,3
9/12/2020,11,19,21,32,34,1
9/9/2020,4,17,23,35,41,6
9/5/2020,1,3,7,18,39,4
9/2/2020,3,15,16,21,33,2
8/29/2020,12,19,22,29,34,1
8/26/2020,9,11,18,31,32,2
8/22/2020,9,10,26,29,34,2
8/19/2020,3,4,25,33,38,1
8/15/2020,15,22,24,29,37,6
8/12/2020,2,14,16,21,35,5
8/8/2020,2,4,29,31,38,4
8/5/2020,8,15,28,32,33,3
8/1/2020,24,25,33,35,41,3
7/29/2020,1,4,10,11,29,5
7/25/2020,1,11,13,18,21,1
7/22/2020,7,12,20,22,36,2
7/18/2020,13,15,23,28,41,6
7/15/2020,5,7,19,30,39,4
7/11/2020,5,16,28,29,31,5
7/8/2020,3,8,25,28,36,3
7/4/2020,11,20,22,24,25,4
7/1/2020,1,2,17,24,32,6
6/27/2020,5,7,8,14,19,4
6/24/2020,1,10,15,29,36,4
6/20/2020,5,9,18,22,36,3
6/17/2020,3,8,9,22,35,5
6/13/2020,8,20,28,32,39,1
6/10/2020,1,12,13,18,38,1
6/6/2020,4,21,34,37,38,2
6/3/2020,4,11,13,32,34,3
5/30/2020,9,21,30,40,41,4
5/27/2020,3,17,23,35,41,2
5/23/2020,8,12,25,27,30,4
5/20/2020,2,10,13,35,41,2
5/16/2020,14,22,24,30,39,4
5/13/2020,8,18,23,24,38,5
5/9/2020,1,3,4,9,24,2
5/6/2020,7,13,14,24,32,4
5/2/2020,1,13,15,28,33,6
4/29/2020,3,12,22,34,36,6
4/25/2020,1,17,18,26,38,3
4/22/2020,7,17,20,24,26,4
4/18/2020,25,31,32,33,35,3
4/15/2020,1,3,7,28,38,4
4/11/2020,2,10,11,30,33,4
4/8/2020,13,31,33,38,40,1
4/4/2020,1,11,16,22,30,5
4/1/2020,9,21,25,33,38,3
3/28/2020,5,6,8,30,31,3
3/25/2020,7,13,14,31,39,6
3/21/2020,8,13,26,29,41,2
3/18/2020,17,31,33,37,39,2
3/14/2020,16,19,21,27,36,4
3/11/2020,11,12,21,26,38,3
